Area code,Name,Geography,"Total number of domestic abuse-related crimes
Apr 2015 to Mar 2016","Percentage of all crimes that were domestic abuse-related
Apr 2015 to Mar 2016","Total number of domestic abuse-related crimes
Apr 2016 to Mar 2017","Percentage of all crimes that were domestic abuse-related
Apr 2016 to Mar 2017","Total number of domestic abuse-related crimes
Apr 2017 to Mar 2018","Percentage of all crimes that were domestic abuse-related
Apr 2017 to Mar 2018","Total number of domestic abuse-related crimes
Apr 2018 to Mar 2019","Percentage of all crimes that were domestic abuse-related
Apr 2018 to Mar 2019","Total number of domestic abuse-related crimes
Apr 2019 to Mar 2020","Percentage of all crimes that were domestic abuse-related
Apr 2019 to Mar 2020","Total number of domestic abuse-related crimes
Apr 2020 to Mar 2021","Percentage of all crimes that were domestic abuse-related
Apr 2020 to Mar 2021","Total number of domestic abuse-related crimes
Apr 2021 to Mar 2022","Percentage of all crimes that were domestic abuse-related
Apr 2021 to Mar 2022","Total number of domestic abuse-related crimes
Apr 2022 to Mar 2023","Percentage of all crimes that were domestic abuse-related
Apr 2022 to Mar 2023","Total number of domestic abuse-related crimes
Apr 2023 to Mar 2024
[note 3][note 4]","Percentage of all crimes that were domestic abuse-related
Apr 2023 to Mar 2024
[note 3][note 4]"
E23000004,Merseyside,Police force area,11766,11.49595990190427,12136,11.029719167499772,15304,12.181124987065912,21969,16.189865581888927,26037,18.91495281613913,26789,20.78987396784007,32952,19.88414192614048,33539,19.81636523701765,27850,19.162756134146175
E12000003,Yorkshire and the Humber ,Region,40955,9.91812191383064,52148,10.96421512972541,70857,13.288436545310311,94499,16.010267010029818,98756,16.927984586613736,99526,19.67511915658292,109025,18.74473462510531,112972,18.061331018351982,103284,17.487948716646265
E23000012,Humberside,Police force area,6316,9.127035736477797,9185,11.853601249241809,10839,12.577018136248128,16063,15.626702467118063,16344,16.38364842919866,16067,18.70997042178075,16260,17.705282184740355,15504,15.31501274275441,17383,17.550608309354335
E23000009,North Yorkshire,Police force area,4675,11.999794655920326,3704,9.863918404303481,5647,14.470582205822058,6231,13.59500796369428,7977,17.116556518753754,7825,19.960716289985204,8652,18.40263745613102,8414,17.058286872782563,7120,14.972767228145438
E23000011,South Yorkshire,Police force area,8563,8.385972128370106,11432,9.40944071772501,17370,12.20720625751091,20132,13.820847978910368,21739,14.621137730189263,22126,16.947516774410982,23613,15.899297045436182,24808,15.465177168790365,23738,15.353867249653959
E23000010,West Yorkshire,Police force area,21401,10.560051317477548,27827,11.63885949466094,37001,13.924546053250541,52073,17.59514243911999,52696,18.275329899946247,53508,21.384809064204784,60500,20.559909196566327,64246,20.426681928017295,55043,19.019893088041687
E12000004,East Midlands ,Region,28563,10.538219168984881,34888,11.771732052056375,39321,11.844102798896346,54615,14.57348247926651,66611,16.50122747867705,67318,18.80958501447364,68702,17.071194998558806,72157,17.20276552628442,70002,17.37289607830485
E23000018,Derbyshire,Police force area,6077,11.487061225261327,6215,11.546250023222546,6259,11.259421828059509,8257,13.458403964010953,15575,19.443230759627987,17425,23.151223660085563,15945,18.497894407127692,17553,20.418300045366244,17836,20.2794737979102
E23000021,Leicestershire,Police force area,5887,9.691013547994139,8742,12.417084499240088,11354,13.547471035330334,14606,15.920734232957642,14896,15.937175687675865,13811,15.83412631989269,15481,15.390350833590155,16927,15.9922528225235,16475,16.707738801504963
E23000020,Lincolnshire,Police force area,2905,8.10049634710836,3527,9.97934527346292,3718,9.196823904816089,8391,15.905299871104708,10659,17.816668338180722,10114,20.618514667808288,10659,19.62260677466863,11006,18.724055801292955,10479,18.95073784722222
