Area code,Name,Geography,"Violence against the person domestic abuse-related offences
Apr 2015 to Mar 2016","Percentage of violence offences that were domestic abuse-related
Apr 2015 to Mar 2016","Violence against the person domestic abuse-related offences
Apr 2016 to Mar 2017","Percentage of violence offences that were domestic abuse-related
Apr 2016 to Mar 2017","Violence against the person domestic abuse-related offences
Apr 2017 to Mar 2018","Percentage of violence offences that were domestic abuse-related
Apr 2017 to Mar 2018","Violence against the person domestic abuse-related offences
Apr 2018 to Mar 2019","Percentage of violence offences that were domestic abuse-related
Apr 2018 to Mar 2019","Violence against the person domestic abuse-related offences
Apr 2019 to Mar 2020","Percentage of violence offences that were domestic abuse-related
Apr 2019 to Mar 2020","Violence against the person domestic abuse-related offences
Apr 2020 to Mar 2021","Percentage of violence offences that were domestic abuse-related
Apr 2020 to Mar 2021","Violence against the person domestic abuse-related offences
Apr 2021 to Mar 2022","Percentage of violence offences that were domestic abuse-related
Apr 2021 to Mar 2022","Violence against the person domestic abuse-related offences
Apr 2022 to Mar 2023","Percentage of violence offences that were domestic abuse-related
Apr 2022 to Mar 2023","Violence against the person domestic abuse-related offences
Apr 2023 to Mar 2024","Percentage of violence offences that were domestic abuse-related
Apr 2023 to Mar 2024
[note 3][note 4]"
E23000017,Warwickshire,Police force area,2854,34.00452758250923,3665,33.944614244697604,4139,34.66789513359578,5414,40.57862389446859,5821,40.766160095244764,5750,39.238433192302445,6036,36.85881778212018,5669,36.274635270028156,5284,35.177418281073166
E23000016,West Mercia,Police force area,7264,30.341255586650515,8555,32.00883002207505,9931,35.208820818265615,12054,38.88010837660872,13583,39.85505120154925,13625,43.173104344244116,13895,36.33629707112971,13588,35.0007727577147,12021,35.220181067065134
E23000014,West Midlands,Police force area,14599,33.7627197039778,16732,34.167857872166636,19133,33.11468032815258,25608,33.599244253175186,32301,35.23194555033213,45922,37.37293997965412,54065,33.6742384134834,52562,34.590731405556944,44530,33.66140541848089
E12000006,East of England ,Region,30653,32.635266060515725,34833,32.193458349892325,44022,34.357025231989134,54118,34.604514355137795,64471,36.95545008483514,68765,38.39903953540317,70150,35.30252477215655,65966,34.452214695698046,57505,32.72014475271411
E23000026,Bedfordshire,Police force area,3608,34.73238351944551,3443,33.64604710251148,4271,35.187015982863734,4811,31.1371432269756,6034,35.09567847379748,6493,37.908687529191965,6505,34.247657154891016,6246,34.68651080135503,6240,34.118869265678825
E23000023,Cambridgeshire,Police force area,3843,34.90780270687619,4975,35.12177903282739,5731,34.27836593097673,5998,34.82350209010683,8292,40.211434944959024,9501,42.01379676306713,9516,37.717003567181926,8804,33.98571704304188,7811,31.33549965900429
E23000028,Essex,Police force area,10013,33.874623634087754,10883,32.19536727509393,14047,34.17345821676195,20518,35.93407940594406,23693,36.84758942457232,23595,36.338015154315286,24858,33.82639106236477,22904,33.55700764790342,19686,32.022252586375174
E23000027,Hertfordshire,Police force area,6176,38.01785164666051,6921,34.39518934499553,8607,37.04644256015151,8965,35.495110266460784,10046,38.616182971362676,10525,41.1792323643335,10397,37.84305161243358,10097,37.62343033871148,9157,35.31430775163903
E23000024,Norfolk,Police force area,3938,27.096951764948738,4682,29.789400012725075,6172,33.53983262688838,7588,34.364385670938816,9063,36.3435858363075,11023,39.251504468895774,11316,35.676902705088594,10412,34.78086584714057,8523,32.964610326822665
E23000025,Suffolk,Police force area,3075,25.221456692913385,3929,27.749134825905784,5194,31.414055884843354,6238,32.35812843655981,7343,34.329125759700794,7628,36.73665960315932,7558,34.657006603081435,7503,33.299307651340314,6088,31.59151055990867
